,chrom,pos,cov,sampleID
2,chrI,2001,160.058,D18
3,chrI,3001,194.3515,D18
4,chrI,4001,93.246,D18
5,chrI,5001,45.6105,D18
6,chrI,6001,72.948,D18
7,chrI,7001,80.8185,D18
8,chrI,8001,58.825,D18
9,chrI,9001,47.0055,D18
10,chrI,10001,45.4195,D18
11,chrI,11001,64.0255,D18
12,chrI,12001,56.1725,D18
13,chrI,13001,61.4505,D18
14,chrI,14001,85.3705,D18
15,chrI,15001,54.8335,D18
16,chrI,16001,35.5585,D18
17,chrI,17001,37.642,D18
18,chrI,18001,27.195,D18
19,chrI,19001,25.0425,D18
20,chrI,20001,21.239,D18
21,chrI,21001,9.791,D18
22,chrI,22001,9.8885,D18
23,chrI,23001,22.019,D18
24,chrI,24001,24.301,D18
25,chrI,25001,20.199,D18
26,chrI,26001,85.8205,D18
27,chrI,27001,222.0065,D18
28,chrI,28001,184.1075,D18
29,chrI,29001,66.946,D18
30,chrI,30001,43.009,D18
31,chrI,31001,31.481,D18
32,chrI,32001,47.9965,D18
33,chrI,33001,66.583,D18
34,chrI,34001,72.5405,D18
35,chrI,35001,53.1775,D18
36,chrI,36001,62.2615,D18
37,chrI,37001,68.804,D18
38,chrI,38001,41.717,D18
39,chrI,39001,52.999,D18
40,chrI,40001,63.122,D18
41,chrI,41001,56.155,D18
42,chrI,42001,75.488,D18
43,chrI,43001,99.698,D18
44,chrI,44001,82.187,D18
45,chrI,45001,57.644,D18
46,chrI,46001,60.1395,D18
47,chrI,47001,47.3715,D18
48,chrI,48001,44.8495,D18
49,chrI,49001,71.296,D18
50,chrI,50001,76.177,D18
51,chrI,51001,63.6495,D18
52,chrI,52001,92.363,D18
53,chrI,53001,85.7125,D18
54,chrI,54001,48.051,D18
55,chrI,55001,59.905,D18
56,chrI,56001,70.236,D18
57,chrI,57001,71.5895,D18
58,chrI,58001,62.135,D18
59,chrI,59001,60.1715,D18
60,chrI,60001,103.153,D18
61,chrI,61001,105.2,D18
62,chrI,62001,68.0435,D18
63,chrI,63001,63.7735,D18
64,chrI,64001,64.475,D18
65,chrI,65001,77.3665,D18
66,chrI,66001,74.4155,D18
67,chrI,67001,73.4975,D18
68,chrI,68001,124.35,D18
69,chrI,69001,107.985,D18
70,chrI,70001,57.378,D18
71,chrI,71001,63.6555,D18
72,chrI,72001,58.027,D18
73,chrI,73001,42.494,D18
74,chrI,74001,31.9935,D18
75,chrI,75001,36.1945,D18
76,chrI,76001,53.393,D18
77,chrI,77001,59.862,D18
78,chrI,78001,56.622,D18
79,chrI,79001,52.059,D18
80,chrI,80001,49.3925,D18
81,chrI,81001,74.6765,D18
82,chrI,82001,93.6795,D18
83,chrI,83001,63.4995,D18
84,chrI,84001,53.3905,D18
85,chrI,85001,62.54,D18
86,chrI,86001,59.08,D18
87,chrI,87001,54.006,D18
88,chrI,88001,55.0385,D18
89,chrI,89001,59.343,D18
90,chrI,90001,55.544,D18
91,chrI,91001,86.479,D18
92,chrI,92001,84.2785,D18
93,chrI,93001,61.4815,D18
94,chrI,94001,91.0695,D18
95,chrI,95001,80.3195,D18
96,chrI,96001,59.1875,D18
97,chrI,97001,72.319,D18
98,chrI,98001,65.422,D18
99,chrI,99001,48.3995,D18
100,chrI,100001,51.9685,D18
101,chrI,101001,115.083,D18
102,chrI,102001,108.523,D18
103,chrI,103001,86.1565,D18
104,chrI,104001,121.4335,D18
105,chrI,105001,102.0565,D18
106,chrI,106001,67.923,D18
107,chrI,107001,54.885,D18
108,chrI,108001,75.251,D18
109,chrI,109001,82.137,D18
110,chrI,110001,81.454,D18
111,chrI,111001,71.205,D18
112,chrI,112001,54.711,D18
113,chrI,113001,54.507,D18
114,chrI,114001,64.376,D18
115,chrI,115001,78.196,D18
116,chrI,116001,78.152,D18
117,chrI,117001,105.646,D18
118,chrI,118001,90.828,D18
119,chrI,119001,46.4615,D18
120,chrI,120001,66.581,D18
121,chrI,121001,70.317,D18
122,chrI,122001,43.407,D18
123,chrI,123001,29.881,D18
124,chrI,124001,37.5925,D18
125,chrI,125001,49.4775,D18
126,chrI,126001,48.8995,D18
127,chrI,127001,54.7805,D18
128,chrI,128001,59.7285,D18
129,chrI,129001,67.65,D18
130,chrI,130001,89.184,D18
131,chrI,131001,98.751,D18
132,chrI,132001,85.283,D18
133,chrI,133001,70.629,D18
134,chrI,134001,84.1725,D18
135,chrI,135001,80.435,D18
136,chrI,136001,64.8825,D18
137,chrI,137001,60.748,D18
138,chrI,138001,54.7715,D18
139,chrI,139001,50.694,D18
140,chrI,140001,50.0275,D18
141,chrI,141001,46.9455,D18
142,chrI,142001,77.793,D18
143,chrI,143001,102.257,D18
144,chrI,144001,75.765,D18
145,chrI,145001,57.1365,D18
146,chrI,146001,47.5355,D18
147,chrI,147001,41.0075,D18
148,chrI,148001,51.608,D18
149,chrI,149001,87.98,D18
150,chrI,150001,81.821,D18
151,chrI,151001,46.831,D18
152,chrI,152001,41.156,D18
153,chrI,153001,45.5175,D18
154,chrI,154001,64.07,D18
155,chrI,155001,62.025,D18
156,chrI,156001,63.559,D18
157,chrI,157001,76.729,D18
158,chrI,158001,82.9895,D18
159,chrI,159001,78.4965,D18
160,chrI,160001,70.485,D18
161,chrI,161001,48.8525,D18
162,chrI,162001,9.982,D18
163,chrI,163001,2.022,D18
164,chrI,164001,4.217,D18
165,chrI,165001,3.7975,D18
166,chrI,166001,1.392,D18
167,chrI,167001,19.8985,D18
168,chrI,168001,64.583,D18
169,chrI,169001,82.3015,D18
170,chrI,170001,83.686,D18
171,chrI,171001,81.757,D18
172,chrI,172001,75.8935,D18
173,chrI,173001,78.159,D18
174,chrI,174001,99.2535,D18
175,chrI,175001,116.686,D18
176,chrI,176001,104.342,D18
177,chrI,177001,82.1655,D18
178,chrI,178001,60.6435,D18
179,chrI,179001,64.7025,D18
180,chrI,180001,70.934,D18
181,chrI,181001,65.0745,D18
182,chrI,182001,48.2245,D18
183,chrI,183001,32.6475,D18
184,chrI,184001,29.974,D18
185,chrI,185001,14.592,D18
186,chrI,186001,0.2415,D18
187,chrI,187001,31.0345,D18
188,chrI,188001,56.5715,D18
189,chrI,189001,59.6735,D18
190,chrI,190001,75.765,D18
191,chrI,191001,102.8365,D18
192,chrI,192001,86.3675,D18
193,chrI,193001,87.6325,D18
194,chrI,194001,103.258,D18
195,chrI,195001,99.137,D18
196,chrI,196001,99.545,D18
197,chrI,197001,95.5725,D18
198,chrI,198001,79.382,D18
199,chrI,199001,63.482,D18
200,chrI,200001,38.368,D18
201,chrI,201001,0.0975,D18
202,chrI,202001,7.8395,D18
203,chrI,203001,15.9865,D18
204,chrI,204001,100.302,D18
205,chrI,205001,245.6665,D18
206,chrI,206001,461.5655,D18
207,chrI,207001,649.9415,D18
208,chrI,208001,373.1525,D18
209,chrI,209001,32.7855,D18
210,chrI,210001,2.642,D18
211,chrI,211001,1.427,D18
212,chrI,212001,9.7525,D18
213,chrI,213001,17.249,D18
214,chrI,214001,10.829,D18
215,chrI,215001,13.661,D18
216,chrI,216001,16.692,D18
217,chrI,217001,6.4825,D18
218,chrI,218001,1.633,D18
219,chrI,219001,13.0205,D18
220,chrI,220001,50.724,D18
221,chrI,221001,68.403,D18
222,chrI,222001,62.7735,D18
223,chrI,223001,130.1935,D18
224,chrI,224001,134.96,D18
225,chrI,225001,69.117,D18
226,chrI,226001,51.074,D18
227,chrI,227001,45.5285,D18
228,chrI,228001,25.8195,D18
229,chrI,229001,1.547,D18
230,chrI,230001,2.9635,D18
233,chrII,233001,9.368,D18
234,chrII,234001,4.1925,D18
235,chrII,235001,0.866,D18
236,chrII,236001,0.255,D18
237,chrII,237001,67.9505,D18
238,chrII,238001,132.8635,D18
239,chrII,239001,80.3235,D18
240,chrII,240001,38.9285,D18
241,chrII,241001,76.415,D18
242,chrII,242001,70.754,D18
243,chrII,243001,37.2125,D18
244,chrII,244001,41.406,D18
245,chrII,245001,43.9795,D18
246,chrII,246001,97.5615,D18
247,chrII,247001,132.37,D18
248,chrII,248001,94.283,D18
249,chrII,249001,70.056,D18
250,chrII,250001,95.493,D18
251,chrII,251001,99.291,D18
252,chrII,252001,71.835,D18
253,chrII,253001,60.9605,D18
254,chrII,254001,76.171,D18
255,chrII,255001,92.6055,D18
256,chrII,256001,81.6495,D18
257,chrII,257001,76.7425,D18
258,chrII,258001,84.251,D18
259,chrII,259001,94.902,D18
260,chrII,260001,108.069,D18
261,chrII,261001,68.0185,D18
262,chrII,262001,125.281,D18
263,chrII,263001,149.627,D18
264,chrII,264001,32.466,D18
265,chrII,265001,9.4415,D18
266,chrII,266001,16.0595,D18
267,chrII,267001,27.1715,D18
268,chrII,268001,51.0885,D18
269,chrII,269001,72.8565,D18
270,chrII,270001,67.287,D18
271,chrII,271001,41.8075,D18
272,chrII,272001,47.1615,D18
273,chrII,273001,68.284,D18
274,chrII,274001,69.8735,D18
275,chrII,275001,67.738,D18
276,chrII,276001,82.6795,D18
277,chrII,277001,83.255,D18
278,chrII,278001,64.693,D18
279,chrII,279001,52.505,D18
280,chrII,280001,37.3925,D18
281,chrII,281001,41.424,D18
282,chrII,282001,70.282,D18
283,chrII,283001,66.3465,D18
284,chrII,284001,38.9735,D18
285,chrII,285001,41.591,D18
286,chrII,286001,63.748,D18
287,chrII,287001,67.3375,D18
288,chrII,288001,62.149,D18
289,chrII,289001,50.8815,D18
290,chrII,290001,80.741,D18
291,chrII,291001,110.5985,D18
292,chrII,292001,111.3875,D18
293,chrII,293001,98.133,D18
294,chrII,294001,68.8265,D18
295,chrII,295001,63.3555,D18
296,chrII,296001,83.4465,D18
297,chrII,297001,91.846,D18
298,chrII,298001,59.6605,D18
299,chrII,299001,46.6425,D18
300,chrII,300001,44.756,D18
301,chrII,301001,54.9125,D18
302,chrII,302001,77.925,D18
303,chrII,303001,197.093,D18
304,chrII,304001,176.7575,D18
305,chrII,305001,55.8155,D18
306,chrII,306001,83.94,D18
307,chrII,307001,99.678,D18
308,chrII,308001,76.1735,D18
309,chrII,309001,45.088,D18
310,chrII,310001,32.229,D18
311,chrII,311001,46.762,D18
312,chrII,312001,75.886,D18
313,chrII,313001,62.8065,D18
314,chrII,314001,43.546,D18
315,chrII,315001,73.9505,D18
316,chrII,316001,74.9705,D18
317,chrII,317001,57.9845,D18
318,chrII,318001,64.119,D18
319,chrII,319001,62.5965,D18
320,chrII,320001,55.8835,D18
321,chrII,321001,52.5215,D18
322,chrII,322001,55.156,D18
323,chrII,323001,52.9945,D18
324,chrII,324001,54.336,D18
325,chrII,325001,49.0445,D18
326,chrII,326001,65.002,D18
327,chrII,327001,78.8145,D18
328,chrII,328001,83.808,D18
329,chrII,329001,79.105,D18
330,chrII,330001,84.457,D18
331,chrII,331001,84.8285,D18
332,chrII,332001,83.1495,D18
333,chrII,333001,107.5265,D18
334,chrII,334001,89.76,D18
335,chrII,335001,62.547,D18
336,chrII,336001,49.4265,D18
337,chrII,337001,44.896,D18
338,chrII,338001,48.0715,D18
339,chrII,339001,53.979,D18
340,chrII,340001,55.858,D18
341,chrII,341001,52.7995,D18
342,chrII,342001,44.0895,D18
343,chrII,343001,72.5675,D18
344,chrII,344001,90.329,D18
345,chrII,345001,68.2625,D18
346,chrII,346001,50.216,D18
347,chrII,347001,34.9,D18
348,chrII,348001,40.377,D18
349,chrII,349001,99.699,D18
350,chrII,350001,102.0605,D18
351,chrII,351001,46.6035,D18
352,chrII,352001,38.431,D18
353,chrII,353001,41.43,D18
354,chrII,354001,73.883,D18
355,chrII,355001,106.611,D18
356,chrII,356001,75.5995,D18
357,chrII,357001,42.601,D18
358,chrII,358001,56.347,D18
359,chrII,359001,87.042,D18
360,chrII,360001,120.6245,D18
361,chrII,361001,115.5395,D18
362,chrII,362001,75.307,D18
363,chrII,363001,82.593,D18
364,chrII,364001,98.838,D18
365,chrII,365001,62.4115,D18
366,chrII,366001,46.6475,D18
367,chrII,367001,66.9945,D18
368,chrII,368001,69.434,D18
369,chrII,369001,56.271,D18
370,chrII,370001,56.1925,D18
371,chrII,371001,49.3895,D18
372,chrII,372001,54.141,D18
373,chrII,373001,56.1975,D18
374,chrII,374001,38.1195,D18
375,chrII,375001,30.3665,D18
376,chrII,376001,33.07,D18
377,chrII,377001,49.6945,D18
378,chrII,378001,64.367,D18
379,chrII,379001,62.9865,D18
380,chrII,380001,57.2285,D18
381,chrII,381001,74.1565,D18
382,chrII,382001,84.5705,D18
383,chrII,383001,59.0145,D18
384,chrII,384001,66.9225,D18
385,chrII,385001,85.2885,D18
