,chrom,pos,cov,sampleID
2,chrI,2001,203.2655,M18
3,chrI,3001,195.5315,M18
4,chrI,4001,124.567,M18
5,chrI,5001,47.971,M18
6,chrI,6001,59.2165,M18
7,chrI,7001,56.585,M18
8,chrI,8001,47.8545,M18
9,chrI,9001,69.408,M18
10,chrI,10001,67.7575,M18
11,chrI,11001,64.217,M18
12,chrI,12001,61.661,M18
13,chrI,13001,75.4375,M18
14,chrI,14001,77.6525,M18
15,chrI,15001,59.164,M18
16,chrI,16001,55.457,M18
17,chrI,17001,44.686,M18
18,chrI,18001,50.9455,M18
19,chrI,19001,45.707,M18
20,chrI,20001,29.9515,M18
21,chrI,21001,18.527,M18
22,chrI,22001,10.364,M18
23,chrI,23001,25.7985,M18
24,chrI,24001,38.0655,M18
25,chrI,25001,38.4135,M18
26,chrI,26001,82.021,M18
27,chrI,27001,142.3885,M18
28,chrI,28001,111.671,M18
29,chrI,29001,50.4295,M18
30,chrI,30001,35.734,M18
31,chrI,31001,41.7825,M18
32,chrI,32001,48.6725,M18
33,chrI,33001,54.2705,M18
34,chrI,34001,65.4065,M18
35,chrI,35001,62.8135,M18
36,chrI,36001,69.398,M18
37,chrI,37001,96.077,M18
38,chrI,38001,89.596,M18
39,chrI,39001,56.713,M18
40,chrI,40001,50.0105,M18
41,chrI,41001,70.544,M18
42,chrI,42001,91.489,M18
43,chrI,43001,103.329,M18
44,chrI,44001,119.497,M18
45,chrI,45001,111.4495,M18
46,chrI,46001,82.619,M18
47,chrI,47001,57.3465,M18
48,chrI,48001,53.2975,M18
49,chrI,49001,92.9345,M18
50,chrI,50001,104.754,M18
51,chrI,51001,79.7525,M18
52,chrI,52001,84.3425,M18
53,chrI,53001,70.3835,M18
54,chrI,54001,47.537,M18
55,chrI,55001,64.1905,M18
56,chrI,56001,94.0835,M18
57,chrI,57001,95.4355,M18
58,chrI,58001,90.42,M18
59,chrI,59001,94.8165,M18
60,chrI,60001,81.933,M18
61,chrI,61001,62.0235,M18
