,chrom,pos,cov,sampleID
2,chrI,2001,258.6705,K15
3,chrI,3001,281.3265,K15
4,chrI,4001,210.113,K15
5,chrI,5001,52.2735,K15
6,chrI,6001,68.78,K15
7,chrI,7001,54.3385,K15
8,chrI,8001,48.7575,K15
9,chrI,9001,110.871,K15
10,chrI,10001,101.9385,K15
11,chrI,11001,51.2505,K15
12,chrI,12001,52.4725,K15
13,chrI,13001,111.288,K15
14,chrI,14001,112.461,K15
15,chrI,15001,44.5,K15
16,chrI,16001,51.8285,K15
17,chrI,17001,46.003,K15
18,chrI,18001,25.929,K15
19,chrI,19001,29.266,K15
20,chrI,20001,26.636,K15
21,chrI,21001,16.567,K15
22,chrI,22001,15.5265,K15
23,chrI,23001,27.1075,K15
24,chrI,24001,33.072,K15
25,chrI,25001,35.632,K15
26,chrI,26001,60.6675,K15
27,chrI,27001,103.2415,K15
28,chrI,28001,87.7685,K15
29,chrI,29001,43.0355,K15
30,chrI,30001,36.0575,K15
31,chrI,31001,45.8325,K15
32,chrI,32001,59.382,K15
33,chrI,33001,66.1005,K15
34,chrI,34001,100.6105,K15
35,chrI,35001,105.9575,K15
36,chrI,36001,81.713,K15
37,chrI,37001,85.994,K15
38,chrI,38001,69.8915,K15
39,chrI,39001,49.981,K15
40,chrI,40001,51.1505,K15
41,chrI,41001,55.585,K15
42,chrI,42001,80.495,K15
43,chrI,43001,116.9025,K15
44,chrI,44001,116.346,K15
45,chrI,45001,85.84,K15
46,chrI,46001,76.9315,K15
47,chrI,47001,70.9725,K15
48,chrI,48001,66.7765,K15
49,chrI,49001,106.1675,K15
50,chrI,50001,157.3105,K15
51,chrI,51001,134.324,K15
52,chrI,52001,100.2445,K15
53,chrI,53001,87.033,K15
54,chrI,54001,73.4445,K15
55,chrI,55001,69.3835,K15
56,chrI,56001,63.0985,K15
57,chrI,57001,64.357,K15
58,chrI,58001,57.196,K15
59,chrI,59001,64.8545,K15
60,chrI,60001,113.6725,K15
61,chrI,61001,112.266,K15
62,chrI,62001,80.9155,K15
63,chrI,63001,88.882,K15
64,chrI,64001,103.877,K15
65,chrI,65001,96.4305,K15
66,chrI,66001,85.261,K15
67,chrI,67001,86.1825,K15
68,chrI,68001,108.9855,K15
69,chrI,69001,108.6965,K15
70,chrI,70001,76.6175,K15
71,chrI,71001,81.943,K15
72,chrI,72001,67.7155,K15
73,chrI,73001,40.4685,K15
74,chrI,74001,32.39,K15
75,chrI,75001,42.4725,K15
76,chrI,76001,61.277,K15
77,chrI,77001,111.696,K15
78,chrI,78001,116.842,K15
79,chrI,79001,73.83,K15
80,chrI,80001,77.8695,K15
81,chrI,81001,168.038,K15
82,chrI,82001,184.4065,K15
83,chrI,83001,89.988,K15
84,chrI,84001,66.0585,K15
85,chrI,85001,72.5705,K15
86,chrI,86001,65.5195,K15
87,chrI,87001,54.7035,K15
88,chrI,88001,63.222,K15
89,chrI,89001,71.566,K15
90,chrI,90001,70.182,K15
91,chrI,91001,152.602,K15
92,chrI,92001,196.061,K15
93,chrI,93001,151.3785,K15
94,chrI,94001,121.454,K15
95,chrI,95001,84.1975,K15
96,chrI,96001,65.356,K15
97,chrI,97001,59.694,K15
98,chrI,98001,59.1435,K15
99,chrI,99001,51.7605,K15
100,chrI,100001,65.435,K15
101,chrI,101001,203.793,K15
102,chrI,102001,190.0205,K15
103,chrI,103001,93.419,K15
104,chrI,104001,169.1585,K15
105,chrI,105001,150.409,K15
106,chrI,106001,86.113,K15
107,chrI,107001,70.4925,K15
108,chrI,108001,59.778,K15
109,chrI,109001,72.712,K15
110,chrI,110001,77.0565,K15
111,chrI,111001,59.795,K15
112,chrI,112001,52.884,K15
113,chrI,113001,74.5725,K15
114,chrI,114001,98.4915,K15
115,chrI,115001,101.1425,K15
116,chrI,116001,72.312,K15
117,chrI,117001,90.6815,K15
118,chrI,118001,104.2825,K15
119,chrI,119001,75.5515,K15
120,chrI,120001,78.0105,K15
121,chrI,121001,79.823,K15
122,chrI,122001,62.9025,K15
123,chrI,123001,45.3525,K15
124,chrI,124001,53.5425,K15
125,chrI,125001,65.518,K15
126,chrI,126001,75.6095,K15
127,chrI,127001,89.161,K15
128,chrI,128001,77.9555,K15
129,chrI,129001,72.038,K15
130,chrI,130001,97.343,K15
131,chrI,131001,113.723,K15
132,chrI,132001,95.3285,K15
133,chrI,133001,84.0455,K15
134,chrI,134001,141.2435,K15
135,chrI,135001,135.5355,K15
136,chrI,136001,69.15,K15
137,chrI,137001,89.776,K15
138,chrI,138001,93.349,K15
139,chrI,139001,62.6285,K15
140,chrI,140001,54.6655,K15
141,chrI,141001,54.4695,K15
142,chrI,142001,60.9645,K15
143,chrI,143001,60.6,K15
144,chrI,144001,63.104,K15
145,chrI,145001,63.6415,K15
146,chrI,146001,55.982,K15
147,chrI,147001,49.928,K15
148,chrI,148001,61.112,K15
149,chrI,149001,106.529,K15
