,chrom,pos,cov,sampleID
2,chrI,2001,222.757,F7
3,chrI,3001,74.2205,F7
4,chrI,4001,46.3855,F7
5,chrI,5001,38.755,F7
6,chrI,6001,97.52,F7
7,chrI,7001,101.0195,F7
8,chrI,8001,48.703,F7
9,chrI,9001,61.943,F7
10,chrI,10001,59.003,F7
11,chrI,11001,49.0325,F7
12,chrI,12001,45.6685,F7
13,chrI,13001,125.8425,F7
14,chrI,14001,132.313,F7
15,chrI,15001,44.72,F7
16,chrI,16001,37.981,F7
17,chrI,17001,33.644,F7
18,chrI,18001,31.565,F7
19,chrI,19001,32.543,F7
20,chrI,20001,25.1175,F7
21,chrI,21001,18.058,F7
22,chrI,22001,17.834,F7
23,chrI,23001,23.8765,F7
24,chrI,24001,30.4995,F7
25,chrI,25001,38.101,F7
26,chrI,26001,81.8555,F7
27,chrI,27001,144.454,F7
28,chrI,28001,115.1395,F7
29,chrI,29001,47.272,F7
30,chrI,30001,36.478,F7
31,chrI,31001,43.4115,F7
32,chrI,32001,48.4805,F7
33,chrI,33001,53.771,F7
34,chrI,34001,59.146,F7
35,chrI,35001,50.367,F7
36,chrI,36001,42.224,F7
37,chrI,37001,52.4825,F7
38,chrI,38001,46.3385,F7
39,chrI,39001,39.267,F7
40,chrI,40001,50.3595,F7
41,chrI,41001,52.277,F7
42,chrI,42001,80.0135,F7
43,chrI,43001,109.2435,F7
44,chrI,44001,86.407,F7
45,chrI,45001,63.7205,F7
46,chrI,46001,69.596,F7
47,chrI,47001,72.808,F7
48,chrI,48001,73.021,F7
49,chrI,49001,87.88,F7
50,chrI,50001,86.887,F7
51,chrI,51001,65.8305,F7
52,chrI,52001,63.847,F7
53,chrI,53001,52.9845,F7
54,chrI,54001,45.7285,F7
55,chrI,55001,57.4515,F7
56,chrI,56001,86.755,F7
57,chrI,57001,94.7655,F7
58,chrI,58001,62.5775,F7
59,chrI,59001,62.189,F7
60,chrI,60001,67.0595,F7
61,chrI,61001,53.4635,F7
62,chrI,62001,44.48,F7
63,chrI,63001,54.983,F7
64,chrI,64001,74.6825,F7
65,chrI,65001,73.517,F7
66,chrI,66001,86.776,F7
67,chrI,67001,79.2805,F7
68,chrI,68001,62.156,F7
69,chrI,69001,58.0655,F7
70,chrI,70001,47.12,F7
71,chrI,71001,65.0955,F7
72,chrI,72001,59.8265,F7
73,chrI,73001,32.6245,F7
74,chrI,74001,24.5035,F7
75,chrI,75001,29.959,F7
76,chrI,76001,43.5745,F7
77,chrI,77001,94.1755,F7
78,chrI,78001,96.833,F7
79,chrI,79001,57.8815,F7
80,chrI,80001,60.135,F7
81,chrI,81001,118.8375,F7
82,chrI,82001,138.246,F7
83,chrI,83001,72.424,F7
84,chrI,84001,52.405,F7
85,chrI,85001,66.215,F7
86,chrI,86001,72.844,F7
87,chrI,87001,63.9975,F7
88,chrI,88001,63.813,F7
89,chrI,89001,56.4285,F7
90,chrI,90001,43.882,F7
91,chrI,91001,69.656,F7
92,chrI,92001,79.1975,F7
93,chrI,93001,78.284,F7
94,chrI,94001,71.645,F7
95,chrI,95001,67.04,F7
96,chrI,96001,72.181,F7
97,chrI,97001,59.676,F7
98,chrI,98001,50.274,F7
99,chrI,99001,38.281,F7
100,chrI,100001,43.646,F7
