,chrom,pos,cov,sampleID
2,chrI,2001,207.5405,G18
3,chrI,3001,213.0205,G18
4,chrI,4001,156.722,G18
5,chrI,5001,48.149,G18
6,chrI,6001,59.2365,G18
7,chrI,7001,46.0215,G18
8,chrI,8001,33.627,G18
9,chrI,9001,50.091,G18
10,chrI,10001,49.897,G18
11,chrI,11001,39.194,G18
12,chrI,12001,42.086,G18
13,chrI,13001,71.179,G18
14,chrI,14001,74.7915,G18
15,chrI,15001,49.491,G18
16,chrI,16001,52.9845,G18
17,chrI,17001,47.708,G18
18,chrI,18001,40.4225,G18
19,chrI,19001,32.416,G18
20,chrI,20001,18.589,G18
21,chrI,21001,9.534,G18
22,chrI,22001,8.209,G18
23,chrI,23001,31.842,G18
24,chrI,24001,44.2265,G18
25,chrI,25001,33.6985,G18
26,chrI,26001,50.9665,G18
27,chrI,27001,81.3125,G18
28,chrI,28001,72.3385,G18
29,chrI,29001,43.9535,G18
30,chrI,30001,38.252,G18
31,chrI,31001,42.8795,G18
32,chrI,32001,54.392,G18
33,chrI,33001,94.077,G18
34,chrI,34001,112.782,G18
35,chrI,35001,122.0995,G18
36,chrI,36001,118.481,G18
37,chrI,37001,103.278,G18
38,chrI,38001,88.392,G18
39,chrI,39001,53.104,G18
40,chrI,40001,46.411,G18
41,chrI,41001,68.5935,G18
42,chrI,42001,92.2185,G18
43,chrI,43001,110.844,G18
44,chrI,44001,97.417,G18
45,chrI,45001,61.5545,G18
46,chrI,46001,61.93,G18
47,chrI,47001,61.735,G18
48,chrI,48001,63.6975,G18
49,chrI,49001,97.4485,G18
50,chrI,50001,102.5365,G18
51,chrI,51001,76.1815,G18
52,chrI,52001,70.144,G18
53,chrI,53001,58.154,G18
54,chrI,54001,50.6155,G18
55,chrI,55001,68.268,G18
56,chrI,56001,79.735,G18
57,chrI,57001,71.0315,G18
58,chrI,58001,49.955,G18
59,chrI,59001,48.386,G18
60,chrI,60001,56.328,G18
61,chrI,61001,57.0015,G18
62,chrI,62001,60.793,G18
63,chrI,63001,66.9505,G18
64,chrI,64001,99.274,G18
65,chrI,65001,110.147,G18
66,chrI,66001,116.004,G18
67,chrI,67001,106.8515,G18
68,chrI,68001,87.5965,G18
69,chrI,69001,75.279,G18
70,chrI,70001,69.783,G18
71,chrI,71001,81.4005,G18
72,chrI,72001,70.777,G18
73,chrI,73001,48.145,G18
74,chrI,74001,31.0555,G18
75,chrI,75001,39.3795,G18
76,chrI,76001,55.173,G18
77,chrI,77001,88.14,G18
78,chrI,78001,94.2425,G18
