,chrom,pos,cov,sampleID
2,chrI,2001,141.658,B9
3,chrI,3001,70.0845,B9
4,chrI,4001,48.45,B9
5,chrI,5001,47.73,B9
6,chrI,6001,55.059,B9
7,chrI,7001,51.6845,B9
8,chrI,8001,47.5315,B9
9,chrI,9001,52.4675,B9
10,chrI,10001,42.8355,B9
11,chrI,11001,39.2265,B9
12,chrI,12001,43.417,B9
13,chrI,13001,94.114,B9
14,chrI,14001,102.724,B9
15,chrI,15001,107.7025,B9
16,chrI,16001,101.609,B9
17,chrI,17001,32.74,B9
18,chrI,18001,59.33,B9
19,chrI,19001,63.984,B9
20,chrI,20001,38.888,B9
21,chrI,21001,34.069,B9
22,chrI,22001,20.24,B9
23,chrI,23001,38.0855,B9
24,chrI,24001,41.655,B9
25,chrI,25001,26.058,B9
26,chrI,26001,61.3845,B9
27,chrI,27001,124.065,B9
28,chrI,28001,102.543,B9
29,chrI,29001,40.264,B9
30,chrI,30001,26.051,B9
31,chrI,31001,37.475,B9
32,chrI,32001,68.2105,B9
33,chrI,33001,101.576,B9
34,chrI,34001,98.07,B9
35,chrI,35001,66.9315,B9
36,chrI,36001,67.085,B9
37,chrI,37001,71.758,B9
38,chrI,38001,51.8495,B9
39,chrI,39001,45.239,B9
40,chrI,40001,44.922,B9
41,chrI,41001,50.964,B9
42,chrI,42001,72.115,B9
43,chrI,43001,130.9745,B9
44,chrI,44001,160.884,B9
45,chrI,45001,116.993,B9
46,chrI,46001,81.002,B9
47,chrI,47001,57.747,B9
48,chrI,48001,46.134,B9
49,chrI,49001,65.167,B9
50,chrI,50001,71.7315,B9
51,chrI,51001,59.932,B9
52,chrI,52001,67.68,B9
53,chrI,53001,59.963,B9
54,chrI,54001,43.7355,B9
55,chrI,55001,62.1765,B9
56,chrI,56001,119.833,B9
57,chrI,57001,117.551,B9
58,chrI,58001,64.8595,B9
59,chrI,59001,54.292,B9
60,chrI,60001,73.8965,B9
61,chrI,61001,78.868,B9
62,chrI,62001,56.136,B9
63,chrI,63001,56.3285,B9
64,chrI,64001,92.855,B9
65,chrI,65001,108.1805,B9
66,chrI,66001,108.653,B9
67,chrI,67001,95.421,B9
68,chrI,68001,80.358,B9
69,chrI,69001,74.2285,B9
70,chrI,70001,65.0495,B9
71,chrI,71001,59.3415,B9
72,chrI,72001,44.683,B9
73,chrI,73001,45.266,B9
74,chrI,74001,46.374,B9
75,chrI,75001,45.346,B9
76,chrI,76001,52.971,B9
77,chrI,77001,87.39,B9
78,chrI,78001,86.5495,B9
79,chrI,79001,56.8815,B9
80,chrI,80001,54.335,B9
81,chrI,81001,84.86,B9
82,chrI,82001,117.246,B9
83,chrI,83001,97.2435,B9
84,chrI,84001,69.934,B9
85,chrI,85001,83.824,B9
86,chrI,86001,78.306,B9
87,chrI,87001,47.478,B9
88,chrI,88001,61.497,B9
89,chrI,89001,67.1585,B9
90,chrI,90001,77.954,B9
91,chrI,91001,87.774,B9
92,chrI,92001,62.3425,B9
93,chrI,93001,63.529,B9
94,chrI,94001,75.1305,B9
95,chrI,95001,69.078,B9
96,chrI,96001,52.6285,B9
97,chrI,97001,44.8925,B9
98,chrI,98001,49.8115,B9
99,chrI,99001,48.3565,B9
100,chrI,100001,78.079,B9
101,chrI,101001,164.019,B9
102,chrI,102001,143.9515,B9
103,chrI,103001,72.847,B9
104,chrI,104001,87.7325,B9
105,chrI,105001,106.9745,B9
106,chrI,106001,92.9815,B9
107,chrI,107001,63.9085,B9
108,chrI,108001,46.611,B9
109,chrI,109001,62.973,B9
110,chrI,110001,75.1275,B9
111,chrI,111001,61.8895,B9
112,chrI,112001,58.728,B9
113,chrI,113001,51.1835,B9
114,chrI,114001,52.4805,B9
115,chrI,115001,73.276,B9
116,chrI,116001,99.6575,B9
117,chrI,117001,119.9715,B9
118,chrI,118001,90.489,B9
119,chrI,119001,50.3385,B9
120,chrI,120001,60.3035,B9
121,chrI,121001,65.426,B9
122,chrI,122001,47.72,B9
123,chrI,123001,46.362,B9
124,chrI,124001,99.129,B9
125,chrI,125001,99.316,B9
126,chrI,126001,53.59,B9
127,chrI,127001,52.14,B9
128,chrI,128001,48.032,B9
129,chrI,129001,51.9545,B9
130,chrI,130001,69.524,B9
131,chrI,131001,121.831,B9
132,chrI,132001,117.405,B9
133,chrI,133001,80.1335,B9
134,chrI,134001,176.808,B9
135,chrI,135001,163.724,B9
136,chrI,136001,64.4385,B9
137,chrI,137001,70.4575,B9
138,chrI,138001,55.57,B9
139,chrI,139001,53.521,B9
140,chrI,140001,63.1815,B9
141,chrI,141001,66.51,B9
142,chrI,142001,97.876,B9
143,chrI,143001,83.139,B9
144,chrI,144001,47.764,B9
145,chrI,145001,46.2405,B9
146,chrI,146001,46.811,B9
147,chrI,147001,57.2215,B9
148,chrI,148001,67.164,B9
149,chrI,149001,81.288,B9
150,chrI,150001,72.5125,B9
151,chrI,151001,50.7395,B9
152,chrI,152001,46.647,B9
153,chrI,153001,48.745,B9
154,chrI,154001,70.7185,B9
155,chrI,155001,71.976,B9
156,chrI,156001,94.555,B9
157,chrI,157001,116.771,B9
158,chrI,158001,168.6555,B9
159,chrI,159001,148.2565,B9
160,chrI,160001,87.2015,B9
161,chrI,161001,65.5855,B9
162,chrI,162001,12.0885,B9
163,chrI,163001,4.1765,B9
164,chrI,164001,4.0045,B9
165,chrI,165001,3.175,B9
166,chrI,166001,2.0595,B9
167,chrI,167001,29.2125,B9
168,chrI,168001,104.1465,B9
169,chrI,169001,167.9095,B9
170,chrI,170001,161.2535,B9
171,chrI,171001,105.828,B9
172,chrI,172001,66.391,B9
173,chrI,173001,55.944,B9
174,chrI,174001,75.421,B9
175,chrI,175001,97.886,B9
176,chrI,176001,103.134,B9
177,chrI,177001,74.8155,B9
178,chrI,178001,50.1435,B9
179,chrI,179001,72.189,B9
180,chrI,180001,64.306,B9
181,chrI,181001,63.554,B9
182,chrI,182001,119.3945,B9
183,chrI,183001,107.0045,B9
184,chrI,184001,69.6355,B9
185,chrI,185001,82.0605,B9
186,chrI,186001,63.5645,B9
187,chrI,187001,49.442,B9
188,chrI,188001,66.6445,B9
189,chrI,189001,73.298,B9
190,chrI,190001,77.6135,B9
191,chrI,191001,104.2165,B9
192,chrI,192001,84.5715,B9
193,chrI,193001,91.998,B9
194,chrI,194001,131.307,B9
195,chrI,195001,130.2295,B9
196,chrI,196001,111.9,B9
197,chrI,197001,77.542,B9
198,chrI,198001,70.822,B9
199,chrI,199001,64.5835,B9
200,chrI,200001,26.8395,B9
