,chrom,pos,cov,sampleID
2,chrI,2001,170.878,N5
3,chrI,3001,81.972,N5
4,chrI,4001,56.673,N5
5,chrI,5001,37.7445,N5
6,chrI,6001,58.4755,N5
7,chrI,7001,59.561,N5
8,chrI,8001,49.379,N5
9,chrI,9001,67.9825,N5
10,chrI,10001,67.4475,N5
11,chrI,11001,61.4315,N5
12,chrI,12001,55.759,N5
13,chrI,13001,92.241,N5
14,chrI,14001,101.489,N5
15,chrI,15001,47.1955,N5
16,chrI,16001,35.3265,N5
17,chrI,17001,31.488,N5
18,chrI,18001,22.0695,N5
19,chrI,19001,25.2525,N5
20,chrI,20001,28.7325,N5
21,chrI,21001,23.516,N5
22,chrI,22001,16.9325,N5
23,chrI,23001,26.2785,N5
24,chrI,24001,31.794,N5
25,chrI,25001,34.966,N5
26,chrI,26001,92.6325,N5
27,chrI,27001,182.793,N5
28,chrI,28001,150.014,N5
29,chrI,29001,52.8505,N5
30,chrI,30001,30.669,N5
31,chrI,31001,33.872,N5
32,chrI,32001,39.8165,N5
33,chrI,33001,54.75,N5
34,chrI,34001,66.8485,N5
35,chrI,35001,54.0385,N5
36,chrI,36001,42.542,N5
37,chrI,37001,59.0815,N5
38,chrI,38001,56.528,N5
39,chrI,39001,50.8935,N5
40,chrI,40001,56.845,N5
41,chrI,41001,62.766,N5
42,chrI,42001,85.834,N5
43,chrI,43001,108.2815,N5
44,chrI,44001,90.2885,N5
45,chrI,45001,57.915,N5
46,chrI,46001,56.179,N5
47,chrI,47001,50.473,N5
48,chrI,48001,43.838,N5
49,chrI,49001,67.8445,N5
50,chrI,50001,92.2995,N5
51,chrI,51001,72.7565,N5
52,chrI,52001,68.6535,N5
53,chrI,53001,76.2095,N5
54,chrI,54001,67.423,N5
55,chrI,55001,91.0205,N5
56,chrI,56001,101.205,N5
57,chrI,57001,93.9095,N5
58,chrI,58001,133.5275,N5
59,chrI,59001,131.3165,N5
60,chrI,60001,87.2925,N5
61,chrI,61001,65.2125,N5
62,chrI,62001,46.355,N5
63,chrI,63001,53.937,N5
64,chrI,64001,68.896,N5
65,chrI,65001,66.405,N5
66,chrI,66001,69.446,N5
67,chrI,67001,64.833,N5
68,chrI,68001,60.716,N5
69,chrI,69001,55.6035,N5
70,chrI,70001,47.514,N5
71,chrI,71001,55.2295,N5
72,chrI,72001,47.3615,N5
73,chrI,73001,30.4275,N5
74,chrI,74001,26.0175,N5
75,chrI,75001,33.3925,N5
76,chrI,76001,43.405,N5
77,chrI,77001,59.429,N5
78,chrI,78001,58.5955,N5
79,chrI,79001,57.674,N5
80,chrI,80001,66.812,N5
81,chrI,81001,96.5265,N5
82,chrI,82001,109.809,N5
83,chrI,83001,76.0745,N5
84,chrI,84001,55.2605,N5
85,chrI,85001,65.3275,N5
86,chrI,86001,74.7785,N5
87,chrI,87001,59.8135,N5
88,chrI,88001,71.8975,N5
89,chrI,89001,71.518,N5
90,chrI,90001,54.5355,N5
91,chrI,91001,87.878,N5
92,chrI,92001,81.5165,N5
93,chrI,93001,47.8145,N5
94,chrI,94001,58.072,N5
95,chrI,95001,59.109,N5
96,chrI,96001,51.599,N5
97,chrI,97001,54.7265,N5
98,chrI,98001,49.958,N5
99,chrI,99001,41.004,N5
100,chrI,100001,46.9025,N5
101,chrI,101001,132.689,N5
102,chrI,102001,133.301,N5
103,chrI,103001,58.716,N5
104,chrI,104001,99.5205,N5
105,chrI,105001,107.8945,N5
106,chrI,106001,64.8935,N5
107,chrI,107001,53.516,N5
108,chrI,108001,49.4625,N5
109,chrI,109001,53.724,N5
110,chrI,110001,61.703,N5
111,chrI,111001,54.5855,N5
112,chrI,112001,71.0515,N5
113,chrI,113001,78.7905,N5
114,chrI,114001,84.18,N5
115,chrI,115001,138.3625,N5
116,chrI,116001,142.5745,N5
117,chrI,117001,118.344,N5
118,chrI,118001,83.6725,N5
119,chrI,119001,60.095,N5
120,chrI,120001,77.257,N5
121,chrI,121001,62.774,N5
122,chrI,122001,46.1685,N5
123,chrI,123001,43.785,N5
124,chrI,124001,45.4355,N5
125,chrI,125001,52.3765,N5
126,chrI,126001,58.4835,N5
127,chrI,127001,74.2925,N5
128,chrI,128001,69.6895,N5
129,chrI,129001,64.979,N5
130,chrI,130001,74.791,N5
131,chrI,131001,76.7235,N5
132,chrI,132001,72.6075,N5
133,chrI,133001,64.862,N5
134,chrI,134001,92.598,N5
135,chrI,135001,93.7035,N5
136,chrI,136001,68.8665,N5
137,chrI,137001,70.416,N5
138,chrI,138001,62.7025,N5
139,chrI,139001,50.6675,N5
140,chrI,140001,45.652,N5
141,chrI,141001,45.573,N5
142,chrI,142001,50.965,N5
143,chrI,143001,46.1755,N5
144,chrI,144001,49.295,N5
145,chrI,145001,55.4005,N5
146,chrI,146001,48.79,N5
147,chrI,147001,44.926,N5
148,chrI,148001,69.53,N5
149,chrI,149001,107.1855,N5
150,chrI,150001,82.959,N5
151,chrI,151001,44.138,N5
152,chrI,152001,35.6235,N5
153,chrI,153001,38.515,N5
154,chrI,154001,64.567,N5
155,chrI,155001,76.0425,N5
156,chrI,156001,83.9715,N5
157,chrI,157001,78.6845,N5
158,chrI,158001,75.432,N5
159,chrI,159001,66.3845,N5
160,chrI,160001,58.1695,N5
161,chrI,161001,44.676,N5
162,chrI,162001,8.5005,N5
163,chrI,163001,2.294,N5
164,chrI,164001,3.911,N5
165,chrI,165001,2.4285,N5
166,chrI,166001,1.428,N5
167,chrI,167001,26.7315,N5
168,chrI,168001,71.7795,N5
169,chrI,169001,95.0365,N5
170,chrI,170001,98.755,N5
171,chrI,171001,90.9295,N5
172,chrI,172001,70.0735,N5
173,chrI,173001,55.73,N5
174,chrI,174001,89.222,N5
175,chrI,175001,100.8215,N5
176,chrI,176001,70.8655,N5
177,chrI,177001,72.043,N5
178,chrI,178001,60.8365,N5
179,chrI,179001,47.748,N5
180,chrI,180001,52.0355,N5
181,chrI,181001,54.2195,N5
182,chrI,182001,57.491,N5
183,chrI,183001,63.696,N5
184,chrI,184001,79.9295,N5
185,chrI,185001,84.5545,N5
186,chrI,186001,62.274,N5
187,chrI,187001,47.0835,N5
188,chrI,188001,56.8905,N5
189,chrI,189001,50.529,N5
190,chrI,190001,40.947,N5
191,chrI,191001,67.984,N5
192,chrI,192001,62.5,N5
193,chrI,193001,90.076,N5
194,chrI,194001,110.2865,N5
195,chrI,195001,115.3845,N5
196,chrI,196001,127.1025,N5
197,chrI,197001,97.5485,N5
198,chrI,198001,68.888,N5
199,chrI,199001,42.5725,N5
200,chrI,200001,21.5005,N5
201,chrI,201001,0.1185,N5
202,chrI,202001,2.5435,N5
203,chrI,203001,7.6025,N5
204,chrI,204001,52.864,N5
205,chrI,205001,178.932,N5
206,chrI,206001,285.7285,N5
