,chrom,pos,cov,sampleID
2,chrI,2001,258.179,L11
3,chrI,3001,141.103,L11
4,chrI,4001,106.938,L11
5,chrI,5001,130.7695,L11
6,chrI,6001,155.9875,L11
7,chrI,7001,96.7535,L11
8,chrI,8001,72.005,L11
9,chrI,9001,107.81,L11
10,chrI,10001,111.6495,L11
11,chrI,11001,137.321,L11
12,chrI,12001,125.6805,L11
13,chrI,13001,159.865,L11
14,chrI,14001,178.309,L11
15,chrI,15001,124.869,L11
16,chrI,16001,112.4975,L11
17,chrI,17001,62.021,L11
18,chrI,18001,57.9555,L11
19,chrI,19001,61.882,L11
20,chrI,20001,62.706,L11
21,chrI,21001,50.6765,L11
22,chrI,22001,30.5305,L11
23,chrI,23001,58.779,L11
24,chrI,24001,77.14,L11
25,chrI,25001,64.038,L11
26,chrI,26001,126.054,L11
27,chrI,27001,277.549,L11
28,chrI,28001,239.151,L11
29,chrI,29001,79.242,L11
30,chrI,30001,74.119,L11
31,chrI,31001,102.1805,L11
32,chrI,32001,97.704,L11
33,chrI,33001,103.801,L11
34,chrI,34001,112.8475,L11
35,chrI,35001,99.1855,L11
36,chrI,36001,90.1215,L11
37,chrI,37001,103.2855,L11
38,chrI,38001,90.7755,L11
39,chrI,39001,81.666,L11
40,chrI,40001,103.9595,L11
41,chrI,41001,134.844,L11
42,chrI,42001,147.236,L11
43,chrI,43001,207.912,L11
44,chrI,44001,207.644,L11
45,chrI,45001,124.465,L11
46,chrI,46001,109.821,L11
47,chrI,47001,100.355,L11
48,chrI,48001,98.0265,L11
49,chrI,49001,142.2235,L11
50,chrI,50001,172.7205,L11
51,chrI,51001,156.399,L11
52,chrI,52001,144.653,L11
53,chrI,53001,106.722,L11
54,chrI,54001,80.5235,L11
55,chrI,55001,169.563,L11
56,chrI,56001,225.441,L11
57,chrI,57001,156.4315,L11
58,chrI,58001,150.965,L11
59,chrI,59001,179.3945,L11
60,chrI,60001,138.7545,L11
61,chrI,61001,97.1425,L11
62,chrI,62001,77.6565,L11
63,chrI,63001,96.575,L11
64,chrI,64001,139.3465,L11
65,chrI,65001,145.679,L11
66,chrI,66001,130.365,L11
67,chrI,67001,113.504,L11
68,chrI,68001,203.798,L11
69,chrI,69001,204.6855,L11
70,chrI,70001,106.9455,L11
71,chrI,71001,94.0615,L11
72,chrI,72001,67.7925,L11
73,chrI,73001,66.715,L11
74,chrI,74001,62.7475,L11
75,chrI,75001,74.171,L11
76,chrI,76001,94.07,L11
77,chrI,77001,111.9055,L11
78,chrI,78001,119.196,L11
79,chrI,79001,119.7835,L11
80,chrI,80001,126.6555,L11
81,chrI,81001,255.247,L11
82,chrI,82001,365.621,L11
83,chrI,83001,244.936,L11
84,chrI,84001,220.0525,L11
85,chrI,85001,214.2575,L11
86,chrI,86001,120.543,L11
87,chrI,87001,108.708,L11
88,chrI,88001,160.584,L11
89,chrI,89001,150.762,L11
90,chrI,90001,123.7005,L11
91,chrI,91001,142.6155,L11
92,chrI,92001,106.5635,L11
93,chrI,93001,111.5865,L11
94,chrI,94001,144.8135,L11
95,chrI,95001,124.5475,L11
96,chrI,96001,103.1095,L11
97,chrI,97001,128.0395,L11
98,chrI,98001,135.361,L11
99,chrI,99001,106.85,L11
100,chrI,100001,101.9105,L11
101,chrI,101001,239.176,L11
102,chrI,102001,245.0535,L11
103,chrI,103001,136.0425,L11
104,chrI,104001,219.448,L11
105,chrI,105001,257.8905,L11
106,chrI,106001,172.1295,L11
107,chrI,107001,102.3685,L11
108,chrI,108001,79.807,L11
109,chrI,109001,119.3365,L11
110,chrI,110001,133.125,L11
111,chrI,111001,112.881,L11
112,chrI,112001,108.4445,L11
113,chrI,113001,103.438,L11
114,chrI,114001,107.757,L11
115,chrI,115001,120.4675,L11
116,chrI,116001,137.58,L11
117,chrI,117001,169.883,L11
118,chrI,118001,149.453,L11
119,chrI,119001,103.7815,L11
120,chrI,120001,122.099,L11
121,chrI,121001,119.155,L11
122,chrI,122001,87.677,L11
123,chrI,123001,81.1955,L11
124,chrI,124001,94.3765,L11
125,chrI,125001,95.0275,L11
126,chrI,126001,100.2285,L11
127,chrI,127001,132.9025,L11
128,chrI,128001,121.6555,L11
129,chrI,129001,99.7945,L11
130,chrI,130001,141.383,L11
131,chrI,131001,165.241,L11
132,chrI,132001,170.746,L11
133,chrI,133001,147.5155,L11
134,chrI,134001,187.0125,L11
