,chrom,pos,cov,sampleID
2,chrI,2001,266.1365,C7
3,chrI,3001,104.059,C7
4,chrI,4001,70.6515,C7
5,chrI,5001,47.279,C7
6,chrI,6001,75.1005,C7
7,chrI,7001,78.0795,C7
8,chrI,8001,75.1525,C7
9,chrI,9001,97.132,C7
10,chrI,10001,72.824,C7
11,chrI,11001,53.916,C7
12,chrI,12001,56.099,C7
13,chrI,13001,113.6175,C7
14,chrI,14001,124.693,C7
15,chrI,15001,60.946,C7
16,chrI,16001,48.5115,C7
17,chrI,17001,35.788,C7
18,chrI,18001,28.805,C7
19,chrI,19001,38.854,C7
20,chrI,20001,36.891,C7
21,chrI,21001,28.7025,C7
22,chrI,22001,41.442,C7
23,chrI,23001,52.5265,C7
24,chrI,24001,38.049,C7
25,chrI,25001,29.3665,C7
26,chrI,26001,88.0175,C7
27,chrI,27001,196.6375,C7
28,chrI,28001,168.885,C7
29,chrI,29001,64.124,C7
30,chrI,30001,39.1135,C7
31,chrI,31001,50.591,C7
32,chrI,32001,65.4785,C7
33,chrI,33001,71.592,C7
34,chrI,34001,81.0605,C7
35,chrI,35001,75.0355,C7
36,chrI,36001,63.898,C7
37,chrI,37001,80.8825,C7
38,chrI,38001,76.4655,C7
39,chrI,39001,62.797,C7
40,chrI,40001,66.337,C7
41,chrI,41001,75.177,C7
42,chrI,42001,130.0225,C7
43,chrI,43001,164.0615,C7
44,chrI,44001,149.4195,C7
45,chrI,45001,122.631,C7
46,chrI,46001,138.3855,C7
47,chrI,47001,150.2275,C7
48,chrI,48001,108.468,C7
49,chrI,49001,116.791,C7
50,chrI,50001,135.7955,C7
51,chrI,51001,106.86,C7
52,chrI,52001,94.862,C7
53,chrI,53001,91.0465,C7
54,chrI,54001,79.782,C7
55,chrI,55001,90.9135,C7
56,chrI,56001,108.5785,C7
57,chrI,57001,107.62,C7
58,chrI,58001,83.227,C7
59,chrI,59001,89.5415,C7
60,chrI,60001,92.256,C7
61,chrI,61001,66.64,C7
62,chrI,62001,57.4105,C7
63,chrI,63001,63.6725,C7
64,chrI,64001,83.773,C7
65,chrI,65001,94.073,C7
66,chrI,66001,99.434,C7
67,chrI,67001,92.9865,C7
68,chrI,68001,101.486,C7
69,chrI,69001,91.0305,C7
70,chrI,70001,68.787,C7
71,chrI,71001,91.99,C7
72,chrI,72001,103.7705,C7
73,chrI,73001,74.771,C7
74,chrI,74001,41.6995,C7
75,chrI,75001,44.524,C7
76,chrI,76001,99.734,C7
77,chrI,77001,129.168,C7
78,chrI,78001,91.5705,C7
79,chrI,79001,81.676,C7
80,chrI,80001,90.209,C7
81,chrI,81001,159.7035,C7
82,chrI,82001,205.824,C7
83,chrI,83001,142.3595,C7
84,chrI,84001,95.4675,C7
85,chrI,85001,95.9725,C7
86,chrI,86001,106.036,C7
87,chrI,87001,92.1065,C7
88,chrI,88001,76.129,C7
89,chrI,89001,69.835,C7
90,chrI,90001,89.935,C7
91,chrI,91001,114.941,C7
92,chrI,92001,91.208,C7
93,chrI,93001,63.5565,C7
94,chrI,94001,79.278,C7
95,chrI,95001,87.077,C7
96,chrI,96001,76.252,C7
97,chrI,97001,79.6285,C7
98,chrI,98001,71.439,C7
99,chrI,99001,56.5225,C7
100,chrI,100001,62.8805,C7
101,chrI,101001,174.4865,C7
102,chrI,102001,181.465,C7
103,chrI,103001,94.737,C7
104,chrI,104001,111.524,C7
105,chrI,105001,102.7875,C7
106,chrI,106001,74.01,C7
107,chrI,107001,63.1845,C7
108,chrI,108001,64.769,C7
109,chrI,109001,81.8285,C7
110,chrI,110001,96.168,C7
111,chrI,111001,113.346,C7
112,chrI,112001,146.1465,C7
113,chrI,113001,117.431,C7
114,chrI,114001,98.3195,C7
115,chrI,115001,113.9555,C7
116,chrI,116001,89.388,C7
117,chrI,117001,107.844,C7
118,chrI,118001,110.32,C7
119,chrI,119001,90.943,C7
120,chrI,120001,103.8875,C7
121,chrI,121001,92.675,C7
122,chrI,122001,71.409,C7
123,chrI,123001,54.9825,C7
124,chrI,124001,54.1825,C7
125,chrI,125001,63.3055,C7
126,chrI,126001,65.4085,C7
127,chrI,127001,75.9735,C7
128,chrI,128001,73.5575,C7
129,chrI,129001,73.1685,C7
130,chrI,130001,87.3395,C7
131,chrI,131001,104.1355,C7
