,chrom,pos,cov,sampleID
2,chrI,2001,103.093,E20
3,chrI,3001,134.5805,E20
4,chrI,4001,95.5515,E20
5,chrI,5001,75.3125,E20
6,chrI,6001,78.2335,E20
7,chrI,7001,45.079,E20
8,chrI,8001,41.7405,E20
9,chrI,9001,59.665,E20
10,chrI,10001,57.075,E20
11,chrI,11001,39.6025,E20
12,chrI,12001,38.926,E20
13,chrI,13001,76.546,E20
14,chrI,14001,86.5405,E20
15,chrI,15001,73.7645,E20
16,chrI,16001,77.258,E20
17,chrI,17001,51.302,E20
18,chrI,18001,34.528,E20
19,chrI,19001,30.829,E20
20,chrI,20001,25.617,E20
21,chrI,21001,19.815,E20
22,chrI,22001,16.3385,E20
23,chrI,23001,28.8375,E20
24,chrI,24001,38.42,E20
25,chrI,25001,37.3615,E20
26,chrI,26001,68.7665,E20
27,chrI,27001,182.091,E20
28,chrI,28001,163.428,E20
29,chrI,29001,47.016,E20
30,chrI,30001,26.7335,E20
31,chrI,31001,33.798,E20
32,chrI,32001,46.126,E20
33,chrI,33001,56.4605,E20
34,chrI,34001,67.164,E20
35,chrI,35001,55.347,E20
36,chrI,36001,47.0965,E20
37,chrI,37001,53.5435,E20
38,chrI,38001,51.2245,E20
39,chrI,39001,53.0235,E20
40,chrI,40001,47.481,E20
41,chrI,41001,55.6345,E20
42,chrI,42001,89.07,E20
43,chrI,43001,101.5045,E20
44,chrI,44001,74.6225,E20
45,chrI,45001,59.399,E20
46,chrI,46001,62.328,E20
47,chrI,47001,52.6265,E20
48,chrI,48001,58.5,E20
49,chrI,49001,71.66,E20
50,chrI,50001,69.464,E20
51,chrI,51001,63.0885,E20
52,chrI,52001,77.484,E20
53,chrI,53001,71.4845,E20
54,chrI,54001,55.5745,E20
55,chrI,55001,58.424,E20
56,chrI,56001,52.4975,E20
57,chrI,57001,46.361,E20
58,chrI,58001,46.955,E20
59,chrI,59001,56.5375,E20
60,chrI,60001,85.057,E20
61,chrI,61001,88.283,E20
62,chrI,62001,69.148,E20
63,chrI,63001,77.461,E20
64,chrI,64001,72.8845,E20
65,chrI,65001,69.9,E20
66,chrI,66001,61.0115,E20
67,chrI,67001,50.93,E20
68,chrI,68001,75.367,E20
69,chrI,69001,85.933,E20
70,chrI,70001,72.676,E20
71,chrI,71001,66.952,E20
72,chrI,72001,59.8365,E20
73,chrI,73001,41.6165,E20
74,chrI,74001,32.7265,E20
75,chrI,75001,49.9315,E20
76,chrI,76001,78.106,E20
77,chrI,77001,76.7015,E20
78,chrI,78001,61.45,E20
79,chrI,79001,61.931,E20
80,chrI,80001,59.139,E20
81,chrI,81001,104.9885,E20
82,chrI,82001,136.01,E20
83,chrI,83001,80.386,E20
84,chrI,84001,57.468,E20
85,chrI,85001,78.495,E20
86,chrI,86001,66.877,E20
