,chrom,pos,cov,sampleID
2,chrI,2001,133.183,O17
3,chrI,3001,165.441,O17
4,chrI,4001,107.037,O17
5,chrI,5001,42.7,O17
6,chrI,6001,65.9755,O17
7,chrI,7001,56.699,O17
8,chrI,8001,48.912,O17
9,chrI,9001,70.9355,O17
10,chrI,10001,57.717,O17
11,chrI,11001,54.177,O17
12,chrI,12001,49.114,O17
13,chrI,13001,54.399,O17
14,chrI,14001,62.681,O17
15,chrI,15001,44.1215,O17
16,chrI,16001,44.762,O17
17,chrI,17001,33.6785,O17
18,chrI,18001,26.347,O17
19,chrI,19001,31.8495,O17
20,chrI,20001,24.3105,O17
21,chrI,21001,18.6315,O17
22,chrI,22001,16.225,O17
23,chrI,23001,27.167,O17
24,chrI,24001,29.831,O17
25,chrI,25001,22.458,O17
26,chrI,26001,37.194,O17
27,chrI,27001,80.761,O17
28,chrI,28001,73.447,O17
29,chrI,29001,28.6645,O17
30,chrI,30001,42.3545,O17
31,chrI,31001,60.819,O17
32,chrI,32001,49.4605,O17
33,chrI,33001,42.4825,O17
34,chrI,34001,58.5805,O17
35,chrI,35001,61.576,O17
36,chrI,36001,59.1875,O17
37,chrI,37001,74.733,O17
38,chrI,38001,57.6125,O17
39,chrI,39001,32.9515,O17
40,chrI,40001,43.4345,O17
41,chrI,41001,49.953,O17
42,chrI,42001,62.1995,O17
43,chrI,43001,84.4525,O17
44,chrI,44001,90.969,O17
45,chrI,45001,80.47,O17
46,chrI,46001,64.281,O17
47,chrI,47001,55.9325,O17
48,chrI,48001,66.44,O17
49,chrI,49001,86.576,O17
50,chrI,50001,131.3015,O17
51,chrI,51001,133.1065,O17
52,chrI,52001,104.153,O17
53,chrI,53001,75.2515,O17
54,chrI,54001,48.773,O17
55,chrI,55001,70.249,O17
56,chrI,56001,77.4575,O17
57,chrI,57001,68.719,O17
58,chrI,58001,64.58,O17
59,chrI,59001,65.303,O17
60,chrI,60001,67.306,O17
61,chrI,61001,66.865,O17
62,chrI,62001,67.4775,O17
63,chrI,63001,70.622,O17
64,chrI,64001,72.702,O17
65,chrI,65001,71.4665,O17
66,chrI,66001,71.957,O17
67,chrI,67001,65.9865,O17
68,chrI,68001,77.1395,O17
69,chrI,69001,71.9485,O17
70,chrI,70001,53.297,O17
71,chrI,71001,65.6825,O17
72,chrI,72001,53.276,O17
73,chrI,73001,39.201,O17
74,chrI,74001,35.356,O17
75,chrI,75001,33.336,O17
76,chrI,76001,56.99,O17
77,chrI,77001,85.1435,O17
78,chrI,78001,80.9435,O17
79,chrI,79001,55.1335,O17
80,chrI,80001,58.3125,O17
81,chrI,81001,168.0385,O17
82,chrI,82001,198.3885,O17
83,chrI,83001,94.935,O17
84,chrI,84001,59.355,O17
85,chrI,85001,53.7535,O17
86,chrI,86001,46.275,O17
87,chrI,87001,47.587,O17
88,chrI,88001,53.1895,O17
89,chrI,89001,63.406,O17
90,chrI,90001,72.2085,O17
91,chrI,91001,129.9615,O17
92,chrI,92001,123.928,O17
93,chrI,93001,104.385,O17
94,chrI,94001,102.6945,O17
95,chrI,95001,65.187,O17
96,chrI,96001,58.65,O17
97,chrI,97001,51.178,O17
98,chrI,98001,54.535,O17
99,chrI,99001,84.207,O17
100,chrI,100001,88.499,O17
101,chrI,101001,158.6085,O17
102,chrI,102001,156.4515,O17
103,chrI,103001,71.2265,O17
104,chrI,104001,113.263,O17
105,chrI,105001,107.9575,O17
106,chrI,106001,63.587,O17
107,chrI,107001,56.4035,O17
108,chrI,108001,64.53,O17
109,chrI,109001,60.5075,O17
110,chrI,110001,55.437,O17
111,chrI,111001,56.0955,O17
112,chrI,112001,52.995,O17
113,chrI,113001,60.6055,O17
114,chrI,114001,69.6705,O17
115,chrI,115001,69.376,O17
116,chrI,116001,60.17,O17
117,chrI,117001,70.3505,O17
118,chrI,118001,71.2465,O17
119,chrI,119001,50.7645,O17
120,chrI,120001,58.849,O17
121,chrI,121001,61.8865,O17
122,chrI,122001,44.0065,O17
123,chrI,123001,35.019,O17
124,chrI,124001,50.26,O17
125,chrI,125001,69.4145,O17
126,chrI,126001,62.4365,O17
127,chrI,127001,62.507,O17
128,chrI,128001,65.1995,O17
129,chrI,129001,51.9285,O17
130,chrI,130001,58.6755,O17
131,chrI,131001,73.8445,O17
132,chrI,132001,71.07,O17
133,chrI,133001,74.5955,O17
134,chrI,134001,105.1235,O17
135,chrI,135001,101.126,O17
136,chrI,136001,63.4125,O17
137,chrI,137001,65.237,O17
138,chrI,138001,64.401,O17
139,chrI,139001,47.8645,O17
140,chrI,140001,46.6615,O17
141,chrI,141001,50.1455,O17
142,chrI,142001,64.869,O17
143,chrI,143001,73.0455,O17
144,chrI,144001,57.5945,O17
145,chrI,145001,43.5145,O17
146,chrI,146001,45.5435,O17
147,chrI,147001,49.2035,O17
148,chrI,148001,61.4765,O17
149,chrI,149001,74.027,O17
150,chrI,150001,59.0585,O17
151,chrI,151001,42.5065,O17
152,chrI,152001,44.882,O17
153,chrI,153001,58.597,O17
154,chrI,154001,70.023,O17
155,chrI,155001,65.7625,O17
156,chrI,156001,66.6275,O17
157,chrI,157001,126.829,O17
158,chrI,158001,156.368,O17
159,chrI,159001,97.974,O17
160,chrI,160001,72.965,O17
161,chrI,161001,48.9285,O17
162,chrI,162001,9.487,O17
163,chrI,163001,2.526,O17
164,chrI,164001,4.3025,O17
165,chrI,165001,4.0235,O17
166,chrI,166001,1.535,O17
167,chrI,167001,26.1465,O17
168,chrI,168001,101.8805,O17
169,chrI,169001,121.2745,O17
170,chrI,170001,96.2855,O17
171,chrI,171001,90.1085,O17
172,chrI,172001,71.018,O17
173,chrI,173001,66.7415,O17
174,chrI,174001,93.5925,O17
175,chrI,175001,104.5815,O17
176,chrI,176001,82.614,O17
177,chrI,177001,100.557,O17
178,chrI,178001,84.0505,O17
